epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-26,30,SP,Indiaporã,3520707,city,10,256.60765,1,0,0,0.0,3897,True,False
26,2020-06-26,49,SP,Inúbia Paulista,3520806,city,2,50.11275,0,0,0,0.0,3991,True,False
26,2020-06-26,17,SP,Ipaussu,3520905,city,9,60.11622,0,0,0,0.0,14971,True,False
26,2020-06-26,54,SP,Iperó,3521002,city,44,118.49298,2,0,0,0.0,37133,True,False
26,2020-06-26,39,SP,Ipeúna,3521101,city,17,225.28492,0,0,0,0.0,7546,True,False
26,2020-06-26,49,SP,Ipiguá,3521150,city,15,278.18991,3,2,0,0.1333,5392,True,False
26,2020-06-26,51,SP,Ipuã,3521309,city,66,402.21829,4,1,0,0.0152,16409,True,False
26,2020-06-26,94,SP,Iracemápolis,3521408,city,153,631.31834,5,3,0,0.0196,24235,True,False
26,2020-06-26,33,SP,Irapuã,3521507,city,6,75.06568,0,0,0,0.0,7993,True,False
26,2020-06-26,52,SP,Irapuru,3521606,city,27,325.53653,0,1,0,0.037,8294,True,False
26,2020-06-26,44,SP,Itaberá,3521705,city,8,45.56847,0,0,0,0.0,17556,True,False
26,2020-06-26,57,SP,Itaí,3521804,city,12,44.23963,0,0,0,0.0,27125,True,False
26,2020-06-26,63,SP,Itajobi,3521903,city,77,504.52103,4,3,0,0.039,15262,True,False
26,2020-06-26,16,SP,Itaju,3522000,city,11,286.83181,1,0,0,0.0,3835,True,False
26,2020-06-26,87,SP,Itanhaém,3522109,city,158,155.1819,6,24,0,0.1519,101816,True,False
26,2020-06-26,42,SP,Itaóca,3522158,city,2,60.09615,0,0,0,0.0,3328,True,False
26,2020-06-26,88,SP,Itapecerica da Serra,3522208,city,948,539.57756,20,74,1,0.0781,175693,True,False
26,2020-06-26,83,SP,Itapetininga,3522307,city,236,143.98936,6,15,0,0.0636,163901,True,False
26,2020-06-26,79,SP,Itapeva,3522406,city,73,77.36821,5,2,0,0.0274,94354,True,False
26,2020-06-26,89,SP,Itapevi,3522505,city,1044,439.20909,26,126,1,0.1207,237700,True,False
26,2020-06-26,84,SP,Itapira,3522604,city,159,212.6436,13,11,0,0.0692,74773,True,False
26,2020-06-26,4,SP,Itapirapuã Paulista,3522653,city,4,94.31738,0,0,0,0.0,4241,True,False
26,2020-06-26,44,SP,Itápolis,3522703,city,33,76.53061,0,0,0,0.0,43120,True,False
26,2020-06-26,36,SP,Itaporanga,3522802,city,7,46.20767,1,0,0,0.0,15149,True,False
26,2020-06-26,52,SP,Itapuí,3522901,city,34,242.996,0,1,0,0.0294,13992,True,False
26,2020-06-26,52,SP,Itapura,3523008,city,7,142.68243,0,1,0,0.1429,4906,True,False
26,2020-06-26,88,SP,Itaquaquecetuba,3523107,city,1256,338.70789,44,128,0,0.1019,370821,True,False
26,2020-06-26,86,SP,Itararé,3523206,city,19,37.62153,3,1,0,0.0526,50503,True,False
26,2020-06-26,65,SP,Itariri,3523305,city,70,401.46823,0,3,0,0.0429,17436,True,False
26,2020-06-26,81,SP,Itatiba,3523404,city,158,130.73193,10,5,0,0.0316,120858,True,False
26,2020-06-26,79,SP,Itatinga,3523503,city,43,207.75958,0,1,0,0.0233,20697,True,False
26,2020-06-26,64,SP,Itirapina,3523602,city,21,115.65787,1,0,0,0.0,18157,True,False
26,2020-06-26,39,SP,Itirapuã,3523701,city,2,30.77397,0,0,0,0.0,6499,True,False
26,2020-06-26,52,SP,Itobi,3523800,city,10,127.53475,1,0,0,0.0,7841,True,False
26,2020-06-26,86,SP,Itu,3523909,city,473,271.93441,41,32,0,0.0677,173939,True,False
26,2020-06-26,89,SP,Itupeva,3524006,city,260,424.47594,17,9,0,0.0346,61252,True,False
26,2020-06-26,61,SP,Ituverava,3524105,city,18,43.03749,3,0,0,0.0,41824,True,False
26,2020-06-26,66,SP,Jaborandi,3524204,city,40,577.28388,1,1,0,0.025,6929,True,False
26,2020-06-26,85,SP,Jaboticabal,3524303,city,72,93.1882,2,6,0,0.0833,77263,True,False
26,2020-06-26,80,SP,Jacareí,3524402,city,599,256.35319,20,27,0,0.0451,233662,True,False
26,2020-06-26,79,SP,Jaci,3524501,city,82,1160.32263,0,2,0,0.0244,7067,True,False
26,2020-06-26,57,SP,Jacupiranga,3524600,city,40,223.88895,1,4,1,0.1,17866,True,False
26,2020-06-26,101,SP,Jaguariúna,3524709,city,141,245.26858,12,4,0,0.0284,57488,True,False
26,2020-06-26,80,SP,Jales,3524808,city,152,309.52817,10,1,0,0.0066,49107,True,False
26,2020-06-26,52,SP,Jambeiro,3524907,city,15,227.20388,1,1,0,0.0667,6602,True,False
26,2020-06-26,89,SP,Jandira,3525003,city,440,352.1775,17,36,2,0.0818,124937,True,False
26,2020-06-26,76,SP,Jardinópolis,3525102,city,91,205.04732,5,6,0,0.0659,44380,True,False
26,2020-06-26,64,SP,Jarinu,3525201,city,99,329.51671,13,14,1,0.1414,30044,True,False
26,2020-06-26,86,SP,Jaú,3525300,city,401,266.88497,10,13,0,0.0324,150252,True,False
26,2020-06-26,80,SP,Joanópolis,3525508,city,4,30.25719,0,0,0,0.0,13220,True,False
26,2020-06-26,23,SP,João Ramalho,3525607,city,4,88.43688,0,0,0,0.0,4523,True,False
26,2020-06-26,84,SP,José Bonifácio,3525706,city,83,224.23342,3,2,0,0.0241,37015,True,False
26,2020-06-26,22,SP,Júlio Mesquita,3525805,city,6,125.62814,0,1,0,0.1667,4776,True,False
26,2020-06-26,8,SP,Jumirim,3525854,city,2,59.40006,0,0,0,0.0,3367,True,False
26,2020-06-26,94,SP,Jundiaí,3525904,city,3360,801.98204,127,158,2,0.047,418962,True,False
26,2020-06-26,70,SP,Junqueirópolis,3526001,city,29,140.23889,0,1,0,0.0345,20679,True,False
26,2020-06-26,64,SP,Juquiá,3526100,city,55,292.36657,1,0,0,0.0,18812,True,False
26,2020-06-26,71,SP,Juquitiba,3526209,city,97,308.48493,3,4,0,0.0412,31444,True,False
26,2020-06-26,80,SP,Laranjal Paulista,3526407,city,64,224.4354,0,2,0,0.0312,28516,True,False
26,2020-06-26,50,SP,Lavínia,3526506,city,1,8.34725,0,0,0,0.0,11980,True,False
26,2020-06-26,64,SP,Lavrinhas,3526605,city,10,137.74105,0,1,0,0.1,7260,True,False
26,2020-06-26,74,SP,Leme,3526704,city,273,264.04619,26,10,0,0.0366,103391,True,False
26,2020-06-26,88,SP,Lençóis Paulista,3526803,city,849,1240.64765,29,18,2,0.0212,68432,True,False
26,2020-06-26,87,SP,Limeira,3526902,city,752,245.66011,107,33,0,0.0439,306114,True,False
26,2020-06-26,60,SP,Lindóia,3527009,city,8,100.25063,2,0,0,0.0,7980,True,False
26,2020-06-26,74,SP,Lins,3527108,city,155,198.68483,14,9,0,0.0581,78013,True,False
26,2020-06-26,73,SP,Lorena,3527207,city,98,110.47731,1,5,1,0.051,88706,True,False
26,2020-06-26,14,SP,Lourdes,3527256,city,1,43.6872,0,0,0,0.0,2289,True,False
26,2020-06-26,93,SP,Louveira,3527306,city,178,364.11987,11,6,0,0.0337,48885,True,False
26,2020-06-26,65,SP,Lucélia,3527405,city,35,160.94174,0,5,0,0.1429,21747,True,False
26,2020-06-26,46,SP,Luís Antônio,3527603,city,26,173.94795,3,1,0,0.0385,14947,True,False
26,2020-06-26,21,SP,Luiziânia,3527702,city,2,34.54231,0,0,0,0.0,5790,True,False
26,2020-06-26,11,SP,Lupércio,3527801,city,13,283.59511,5,0,0,0.0,4584,True,False
26,2020-06-26,29,SP,Lutécia,3527900,city,0,,0,0,0,0.0,2649,True,False
26,2020-06-26,75,SP,Macatuba,3528007,city,257,1497.40721,10,1,0,0.0039,17163,True,False
26,2020-06-26,37,SP,Macaubal,3528106,city,15,184.72906,0,1,0,0.0667,8120,True,False
26,2020-06-26,73,SP,Macedônia,3528205,city,4,108.16658,2,0,0,0.0,3698,True,False
26,2020-06-26,43,SP,Magda,3528304,city,10,320.61558,0,0,0,0.0,3119,True,False
26,2020-06-26,74,SP,Mairinque,3528403,city,128,271.47402,11,8,0,0.0625,47150,True,False
26,2020-06-26,93,SP,Mairiporã,3528502,city,235,234.5801,10,25,1,0.1064,100179,True,False
